frame_time_utc,x,y
2025-10-27T09:48:00Z,275,97
2025-10-27T10:36:00Z,289,116
2025-10-27T11:00:00Z,298,124
2025-10-27T11:12:00Z,310,138
2025-10-27T11:24:00Z,318,144
2025-10-27T11:36:00Z,330,144
