frame_time_utc,x,y
2025-10-28T05:00:00Z,115,24
2025-10-28T05:12:00Z,122,10
2025-10-28T05:12:00Z,130,9
2025-10-28T05:24:00Z,123,10
2025-10-28T05:24:00Z,127,13
